Superintendência,Processo,Tipo de requerimento,Fase Atual,CPF/CNPJ do titular,Titular,Municipio(s),Substância(s),Tipo(s) de Uso,Situação,doc_limpo
Gerência Regional / MG,806857/1972,Requerimento de Autorização de Pesquisa,Concessão de Lavra,16.964.819/0001-09,ARQUEANA EMPREENDIMENTOS E PARTICIPACOES S.A.,ARAÇUAÍ,"FELDSPATO, PETALITA, QUARTZO","Demais substâncias, Demais substâncias, Demais substâncias",Sim,16964819000109
Gerência Regional / MG,801317/1972,Requerimento de Autorização de Pesquisa,Concessão de Lavra,16.964.819/0001-09,ARQUEANA EMPREENDIMENTOS E PARTICIPACOES S.A.,ARAÇUAÍ,"FELDSPATO, QUARTZO","Demais substâncias, Demais substâncias",Sim,16964819000109
Gerência Regional / MG,806728/1973,Requerimento de Autorização de Pesquisa,Concessão de Lavra,17.448.739/0001-63,HALBA COMERCIO E INDUSTRIA DE PEDRAS PRECIOSAS S A,CORONEL MURTA,GEMA,Demais substâncias,Sim,17448739000163
Gerência Regional / MG,800179/1972,Requerimento de Autorização de Pesquisa,Concessão de Lavra,17.448.739/0001-63,HALBA COMERCIO E INDUSTRIA DE PEDRAS PRECIOSAS S A,CORONEL MURTA,"CAULIM, PEDRA CORADA","Demais substâncias, Demais substâncias",Sim,17448739000163
Gerência Regional / MG,814488/1974,Requerimento de Autorização de Pesquisa,Concessão de Lavra,21.228.861/0001-00,NACIONAL DE GRAFITE LTDA,PEDRA AZUL,"GRAFITA, XISTO ARGILOSO","Demais substâncias, Demais substâncias",Sim,21228861000100
Gerência Regional / MG,814487/1974,Requerimento de Grupamento Mineiro,Concessão de Lavra,21.228.861/0001-00,NACIONAL DE GRAFITE LTDA,PEDRA AZUL,GRAFITA,Demais substâncias,Sim,21228861000100
Gerência Regional / MG,811741/1972,Requerimento de Autorização de Pesquisa,Concessão de Lavra,21.228.861/0001-00,NACIONAL DE GRAFITE LTDA,PEDRA AZUL,GRAFITA,Demais substâncias,Sim,21228861000100
Gerência Regional / MG,811740/1972,Requerimento de Grupamento Mineiro,Concessão de Lavra,21.228.861/0001-00,NACIONAL DE GRAFITE LTDA,PEDRA AZUL,GRAFITA,Demais substâncias,Sim,21228861000100
Gerência Regional / MG,811739/1972,Requerimento de Grupamento Mineiro,Concessão de Lavra,21.228.861/0001-00,NACIONAL DE GRAFITE LTDA,PEDRA AZUL,GRAFITA,Demais substâncias,Sim,21228861000100
Gerência Regional / MG,801554/1974,Requerimento de Grupamento Mineiro,Concessão de Lavra,21.228.861/0001-00,NACIONAL DE GRAFITE LTDA,PEDRA AZUL,GRAFITA,Demais substâncias,Sim,21228861000100
